id;start_date;end_date;language
1;2020-07-02T06:40:43;2020-07-02T04:30:58;SPANISH
2;2020-07-01T11:30:54;2020-07-02T06:35:19;SPANISH
3;2020-07-02T02:26:13;2020-07-01T13:00:22;FRENCH
4;2020-07-01T17:43:44;2020-07-02T05:15:10;FRENCH
5;2020-07-02T03:14:02;2020-07-02T08:01:01;FRENCH
6;2020-07-01T21:06:23;2020-07-02T09:14:37;FRENCH
7;2020-07-01T22:51:43;2020-07-01T16:42:34;FRENCH
8;2020-07-01T21:47:56;2020-07-02T08:04:04;SPANISH
9;2020-07-01T20:29:05;2020-07-01T17:10:28;SPANISH
10;2020-07-02T04:41:09;2020-07-01T15:15:39;SPANISH
